Endpoint,Type,First Discovered,Last Observed,Auth,Auth Key,Session Key,Shadow,Privilege,Direction,Sensitive,PII,Risk Score,Tags,User Defined Tags,Method,Path,Host,Calls,Content Transfer,Client Error,Server Error,P90,P95,New API,Unused API,Hit count
DELETE /api/addresss/{param-1},Rest,24/03/23 10:15:58,26/03/23 19:22:04,bearer,Req.Header.Authorization,Yes,No,No,Public,No,0,High,,,DELETE,/api/addresss/{param-1},kpmgjuiceshop.appsentinels.ai:8000,0,0,0,0,0.0,0.0,No,Yes,196
DELETE /api/cards/{param-1},Rest,24/03/23 10:15:42,26/03/23 19:21:53,bearer,Req.Header.Authorization,Yes,No,No,Public,No,0,High,card/payment,,DELETE,/api/cards/{param-1},kpmgjuiceshop.appsentinels.ai:8000,0,0,0,0,0.0,0.0,No,Yes,196
GET /api/addresss,Rest,23/03/23 21:15:44,26/03/23 19:21:53,bearer,Req.Header.Authorization,Yes,No,No,Public,Yes,1,High,,,GET,/api/addresss,kpmgjuiceshop.appsentinels.ai:8000,0,0,0,0,0.0,0.0,No,Yes,754
GET /api/addresss/{param-1},Rest,23/03/23 21:16:12,26/03/23 19:19:34,bearer,Req.Header.Authorization,Yes,No,No,Public,Yes,1,High,,,GET,/api/addresss/{param-1},kpmgjuiceshop.appsentinels.ai:8000,0,0,0,0,0.0,0.0,No,Yes,197
GET /api/basketitems,Rest,24/03/23 10:13:07,26/03/23 19:19:23,bearer,Req.Header.Authorization,Yes,No,No,Public,No,0,High,,,GET,/api/basketitems,kpmgjuiceshop.appsentinels.ai:8000,0,0,0,0,0.0,0.0,No,Yes,333
GET /api/cards,Rest,23/03/23 21:16:15,26/03/23 19:21:53,bearer,Req.Header.Authorization,Yes,No,No,Public,No,0,High,card/payment,,GET,/api/cards,kpmgjuiceshop.appsentinels.ai:8000,0,0,0,0,0.0,0.0,No,Yes,1157
GET /api/cards/{param-1},Rest,24/03/23 10:12:13,26/03/23 19:19:34,bearer,Req.Header.Authorization,Yes,No,No,Public,No,0,High,card/payment,,GET,/api/cards/{param-1},kpmgjuiceshop.appsentinels.ai:8000,0,0,0,0,0.0,0.0,No,Yes,196
GET /api/challenges,Rest,03/03/23 13:28:58,04/05/23 03:37:36,Unauth,Req.Header.Authorization,Yes,No,No,Public,No,0,High,,,GET,/api/challenges,kpmgjuiceshop.appsentinels.ai:8000,0,0,0,0,0.0,0.0,No,No,325
GET /api/deliverys,Rest,23/03/23 21:16:13,26/03/23 19:19:23,bearer,Req.Header.Authorization,Yes,No,No,Public,No,0,High,,,GET,/api/deliverys,kpmgjuiceshop.appsentinels.ai:8000,0,0,0,0,0.0,0.0,No,Yes,99
GET /api/deliverys/{param-1},Rest,23/03/23 21:16:14,26/03/23 19:19:34,bearer,Req.Header.Authorization,Yes,No,No,Public,No,0,High,,,GET,/api/deliverys/{param-1},kpmgjuiceshop.appsentinels.ai:8000,0,0,0,0,0.0,0.0,No,Yes,99
GET /api/feedbacks,Rest,17/03/23 11:19:30,17/03/23 11:19:30,Unauth,,No,No,No,Public,No,0,High,,,GET,/api/feedbacks,kpmgjuiceshop.appsentinels.ai:8000,0,0,0,0,0.0,0.0,No,Yes,1
GET /api/products/{param-1},Rest,23/03/23 21:15:33,26/03/23 19:19:12,bearer,Req.Header.Authorization,Yes,No,No,Public,No,0,High,,,GET,/api/products/{param-1},kpmgjuiceshop.appsentinels.ai:8000,0,0,0,0,0.0,0.0,No,Yes,328
GET /api/quantitys,Rest,03/03/23 13:28:59,04/05/23 03:37:36,Unauth,,Yes,No,No,Public,No,0,High,,,GET,/api/quantitys,kpmgjuiceshop.appsentinels.ai:8000,0,0,0,0,0.0,0.0,No,No,729
GET /api/recycles,Rest,17/03/23 11:13:58,26/03/23 19:20:06,Unauth,Req.Header.Authorization,Yes,No,No,Public,No,0,High,,,GET,/api/recycles,kpmgjuiceshop.appsentinels.ai:8000,0,0,0,0,0.0,0.0,No,Yes,99
GET /api/securityquestions,Rest,14/03/23 20:37:33,26/03/23 19:15:29,Unauth,,No,No,No,Public,No,0,High,,,GET,/api/securityquestions,kpmgjuiceshop.appsentinels.ai:8000,0,0,0,0,0.0,0.0,No,Yes,95
GET /assets/i18n/en.json,Rest,03/03/23 13:29:04,04/05/23 03:37:36,Unauth,,Yes,No,No,Public,Yes,17,High,,,GET,/assets/i18n/en.json,kpmgjuiceshop.appsentinels.ai:8000,0,0,0,0,0.0,0.0,No,No,11
GET /rest/admin/application-configuration,Rest,03/03/23 13:29:01,04/05/23 03:37:36,Unauth,,Yes,No,No,Public,Yes,1,High,,,GET,/rest/admin/application-configuration,kpmgjuiceshop.appsentinels.ai:8000,0,0,0,0,0.0,0.0,No,No,824
GET /rest/admin/application-version,Rest,03/03/23 13:29:00,04/05/23 03:37:36,Unauth,,Yes,No,No,Public,No,0,High,,,GET,/rest/admin/application-version,kpmgjuiceshop.appsentinels.ai:8000,0,0,0,0,0.0,0.0,No,No,514
GET /rest/basket/{param-1},Rest,14/03/23 20:37:58,26/03/23 19:19:45,bearer,Req.Header.Authorization,Yes,No,No,Public,No,0,High,,,GET,/rest/basket/{param-1},kpmgjuiceshop.appsentinels.ai:8000,0,0,0,0,0.0,0.0,No,Yes,365
GET /rest/captcha,Rest,17/03/23 11:19:19,20/04/23 12:24:38,Unauth,Req.Header.Authorization,Yes,No,No,Public,No,0,High,,,GET,/rest/captcha,kpmgjuiceshop.appsentinels.ai:8000,0,0,0,0,0.0,0.0,No,No,628
GET /rest/continue-code,Rest,06/03/23 09:17:19,24/03/23 14:30:21,Unauth,Req.Header.Authorization,Yes,No,No,Public,No,0,High,,,GET,/rest/continue-code,kpmgjuiceshop.appsentinels.ai:8000,0,0,0,0,0.0,0.0,No,Yes,15
GET /rest/deluxe-membership,Rest,24/03/23 10:17:29,26/03/23 19:16:44,bearer,Req.Header.Authorization,Yes,No,No,Public,No,0,High,,,GET,/rest/deluxe-membership,kpmgjuiceshop.appsentinels.ai:8000,0,0,0,0,0.0,0.0,No,Yes,92
GET /rest/image-captcha,Rest,24/03/23 10:15:39,26/03/23 19:21:32,bearer,Req.Header.Authorization,Yes,No,No,Public,No,0,High,,,GET,/rest/image-captcha,kpmgjuiceshop.appsentinels.ai:8000,0,0,0,0,0.0,0.0,No,Yes,98
GET /rest/languages,Rest,03/03/23 13:29:13,04/05/23 03:37:36,Unauth,Req.Header.Authorization,Yes,No,No,Public,No,0,High,,,GET,/rest/languages,kpmgjuiceshop.appsentinels.ai:8000,0,0,0,0,0.0,0.0,No,No,279
GET /rest/memories,Rest,24/03/23 10:07:52,26/03/23 19:21:32,Unauth,,Yes,No,No,Public,Yes,2,High,,,GET,/rest/memories,kpmgjuiceshop.appsentinels.ai:8000,0,0,0,0,0.0,0.0,No,Yes,289
GET /rest/order-history,Rest,23/03/23 21:25:40,26/03/23 19:20:06,bearer,Req.Header.Authorization,Yes,No,No,Public,No,0,High,,,GET,/rest/order-history,kpmgjuiceshop.appsentinels.ai:8000,0,0,0,0,0.0,0.0,No,Yes,98
GET /rest/products/{param-1}/reviews,Rest,14/03/23 19:13:22,26/03/23 19:22:14,Unauth,Req.Header.Authorization,Yes,No,No,Public,No,0,High,,,GET,/rest/products/{param-1}/reviews,kpmgjuiceshop.appsentinels.ai:8000,0,0,0,0,0.0,0.0,No,Yes,1271
GET /rest/products/search,Rest,03/03/23 13:28:57,04/05/23 03:37:36,Unauth,Req.Header.Authorization,Yes,No,No,Public,No,0,High,,,GET,/rest/products/search,kpmgjuiceshop.appsentinels.ai:8000,0,0,0,0,0.0,0.0,No,No,1811
GET /rest/saveloginip,Rest,21/03/23 18:16:43,20/04/23 12:23:22,bearer,Req.Header.Authorization,Yes,No,No,Public,Yes,2,High,,,GET,/rest/saveloginip,kpmgjuiceshop.appsentinels.ai:8000,0,0,0,0,0.0,0.0,No,No,147
GET /rest/track-order/{param-1},Rest,24/03/23 10:13:36,26/03/23 19:19:45,bearer,Req.Header.Authorization,Yes,No,No,Public,No,0,High,,,GET,/rest/track-order/{param-1},kpmgjuiceshop.appsentinels.ai:8000,0,0,0,0,0.0,0.0,No,Yes,98
GET /rest/user/security-question,Rest,24/03/23 09:55:18,26/03/23 19:15:29,Unauth,,No,No,No,Public,Yes,1,High,,,GET,/rest/user/security-question,kpmgjuiceshop.appsentinels.ai:8000,0,0,0,0,0.0,0.0,No,Yes,93
GET /rest/user/whoami,Rest,14/03/23 19:13:21,20/04/23 12:24:38,Unauth,Req.Header.Authorization,Yes,No,No,Public,No,0,High,,,GET,/rest/user/whoami,kpmgjuiceshop.appsentinels.ai:8000,0,0,0,0,0.0,0.0,No,No,2401
GET /rest/wallet/balance,Rest,23/03/23 21:16:14,26/03/23 19:18:51,bearer,Req.Header.Authorization,Yes,No,No,Public,No,0,High,card/payment,,GET,/rest/wallet/balance,kpmgjuiceshop.appsentinels.ai:8000,0,0,0,0,0.0,0.0,No,Yes,298
GET /snippets,Rest,15/03/23 10:45:24,15/03/23 14:14:22,In Progress,Req.Header.Authorization,Yes,No,No,Public,No,0,High,,,GET,/snippets,kpmgjuiceshop.appsentinels.ai:8000,0,0,0,0,0.0,0.0,No,Yes,2
POST /api/addresss,Rest,23/03/23 21:16:11,26/03/23 19:17:58,bearer,Req.Header.Authorization,Yes,No,No,Public,Yes,2,High,,,POST,/api/addresss,kpmgjuiceshop.appsentinels.ai:8000,0,0,0,0,0.0,0.0,No,Yes,298
POST /api/basketitems,Rest,23/03/23 21:15:32,26/03/23 19:19:12,bearer,Req.Header.Authorization,Yes,No,No,Public,No,0,High,,,POST,/api/basketitems,kpmgjuiceshop.appsentinels.ai:8000,0,0,0,0,0.0,0.0,No,Yes,335
